experiment,role,sample_id,group_id
fold_1,fit,s000069,g000000
fold_1,fit,s000070,g000000
fold_1,fit,s000071,g000000
fold_1,fit,s000072,g000000
fold_1,fit,s000073,g000000
fold_1,fit,s000074,g000000
fold_1,fit,s000075,g000000
fold_1,fit,s000076,g000000
fold_1,fit,s000077,g000000
fold_1,fit,s000078,g000000
fold_1,fit,s000079,g000000
fold_1,fit,s000080,g000000
fold_1,fit,s000081,g000000
fold_1,fit,s000082,g000000
fold_1,fit,s000083,g000000
fold_1,fit,s000084,g000000
fold_1,fit,s000085,g000000
fold_1,fit,s000086,g000000
fold_1,fit,s000087,g000000
fold_1,fit,s000088,g000000
fold_1,fit,s000089,g000000
fold_1,fit,s000090,g000000
fold_1,fit,s000091,g000090
fold_1,fit,s000092,g000090
fold_1,fit,s000093,g000090
fold_1,fit,s000094,g000090
fold_1,fit,s000095,g000090
fold_1,fit,s000096,g000090
fold_1,fit,s000097,g000090
fold_1,fit,s000098,g000090
fold_1,fit,s000099,g000090
fold_1,fit,s000100,g000090
fold_1,fit,s000101,g000090
fold_1,fit,s000102,g000090
fold_1,fit,s000103,g000090
fold_1,fit,s000104,g000090
fold_1,fit,s000105,g000090
fold_1,fit,s000106,g000090
fold_1,fit,s000107,g000090
fold_1,fit,s000108,g000090
fold_1,fit,s000109,g000090
fold_1,fit,s000110,g000090
fold_1,fit,s000111,g000090
fold_1,fit,s000112,g000090
fold_1,fit,s000113,g000090
fold_1,fit,s000114,g000090
fold_1,fit,s000115,g000090
fold_1,fit,s000116,g000090
fold_1,fit,s000117,g000090
fold_1,fit,s000118,g000090
fold_1,fit,s000119,g000090
fold_1,fit,s000120,g000090
fold_1,fit,s000121,g000090
fold_1,fit,s000122,g000090
fold_1,fit,s000123,g000090
fold_1,fit,s000124,g000090
fold_1,fit,s000125,g000090
fold_1,fit,s000126,g000090
fold_1,fit,s000127,g000090
fold_1,fit,s000128,g000090
fold_1,fit,s000129,g000090
fold_1,fit,s000130,g000090
fold_1,fit,s000131,g000090
fold_1,fit,s000132,g000090
fold_1,fit,s000133,g000090
fold_1,fit,s000134,g000090
fold_1,fit,s000135,g000090
fold_1,fit,s000136,g000090
fold_1,fit,s000137,g000090
fold_1,fit,s000138,g000090
fold_1,fit,s000139,g000090
fold_1,fit,s000140,g000090
fold_1,fit,s000141,g000090
fold_1,fit,s000142,g000090
fold_1,fit,s000143,g000090
fold_1,fit,s000144,g000090
fold_1,fit,s000145,g000090
fold_1,fit,s000146,g000090
fold_1,fit,s000147,g000090
fold_1,fit,s000148,g000090
fold_1,fit,s000149,g000090
fold_1,fit,s000150,g000090
fold_1,fit,s000151,g000090
fold_1,fit,s000152,g000090
fold_1,fit,s000153,g000090
fold_1,fit,s000154,g000090
fold_1,fit,s000155,g000090
fold_1,fit,s000156,g000090
fold_1,fit,s000157,g000090
fold_1,fit,s000158,g000090
fold_1,fit,s000159,g000090
fold_1,fit,s000160,g000090
fold_1,fit,s000161,g000090
fold_1,fit,s000162,g000090
fold_1,fit,s000163,g000090
fold_1,fit,s000164,g000090
fold_1,fit,s000165,g000090
fold_1,fit,s000166,g000090
fold_1,fit,s000167,g000090
fold_1,fit,s000168,g000090
fold_1,fit,s000169,g000090
fold_1,fit,s000170,g000090
fold_1,fit,s000171,g000090
fold_1,fit,s000172,g000090
fold_1,fit,s000173,g000090
fold_1,fit,s000174,g000090
fold_1,fit,s000175,g000090
fold_1,fit,s000176,g000090
fold_1,fit,s000177,g000090
fold_1,fit,s000178,g000090
fold_1,fit,s000179,g000090
fold_1,fit,s000180,g000090
fold_1,fit,s000181,g000090
fold_1,fit,s000182,g000090
fold_1,fit,s000260,g000000
fold_1,fit,s000261,g000000
fold_1,fit,s000262,g000000
fold_1,fit,s000263,g000000
fold_1,fit,s000264,g000000
fold_1,fit,s000265,g000000
fold_1,fit,s000266,g000000
fold_1,fit,s000267,g000000
fold_1,fit,s000268,g000000
fold_1,fit,s000269,g000000
fold_1,fit,s000270,g000000
fold_1,fit,s000271,g000000
fold_1,fit,s000272,g000000
fold_1,fit,s000273,g000000
fold_1,fit,s000274,g000000
fold_1,fit,s000275,g000000
fold_1,fit,s000276,g000000
fold_1,fit,s000277,g000000
fold_1,fit,s000278,g000000
fold_1,fit,s000279,g000000
fold_1,fit,s000280,g000000
fold_1,fit,s000281,g000000
fold_1,fit,s000282,g000000
fold_1,fit,s000283,g000000
fold_1,fit,s000284,g000000
fold_1,fit,s000285,g000000
fold_1,fit,s000286,g000000
fold_1,fit,s000287,g000000
fold_1,fit,s000288,g000000
fold_1,fit,s000289,g000000
fold_1,fit,s000290,g000000
fold_1,fit,s000291,g000000
fold_1,fit,s000292,g000000
fold_1,fit,s000293,g000000
fold_1,fit,s000294,g000000
fold_1,fit,s000295,g000000
fold_1,fit,s000296,g000000
fold_1,fit,s000297,g000000
fold_1,fit,s000298,g000000
fold_1,fit,s000299,g000000
fold_1,fit,s000300,g000000
fold_1,fit,s000301,g000000
fold_1,fit,s000302,g000000
fold_1,fit,s000303,g000000
fold_1,fit,s000304,g000000
fold_1,fit,s000305,g000000
fold_1,fit,s000306,g000000
fold_1,fit,s000307,g000000
fold_1,fit,s000308,g000000
fold_1,fit,s000309,g000000
fold_1,fit,s000310,g000000
fold_1,fit,s000311,g000000
fold_1,fit,s000312,g000000
fold_1,fit,s000313,g000000
fold_1,fit,s000314,g000000
fold_1,fit,s000315,g000000
fold_1,fit,s000316,g000000
fold_1,fit,s000317,g000000
fold_1,fit,s000318,g000000
fold_1,fit,s000319,g000000
fold_1,fit,s000320,g000000
fold_1,fit,s000321,g000000
fold_1,fit,s000322,g000000
fold_1,fit,s000323,g000000
fold_1,fit,s000324,g000000
fold_1,fit,s000325,g000000
fold_1,fit,s000326,g000000
fold_1,fit,s000327,g000000
fold_1,fit,s000328,g000000
fold_1,fit,s000329,g000000
fold_1,fit,s000330,g000000
fold_1,fit,s000331,g000000
fold_1,fit,s000332,g000000
fold_1,fit,s000333,g000000
fold_1,fit,s000334,g000000
fold_1,fit,s000335,g000000
fold_1,fit,s000336,g000000
fold_1,fit,s000337,g000000
fold_1,fit,s000338,g000000
fold_1,fit,s000339,g000000
fold_1,fit,s000340,g000000
fold_1,fit,s000341,g000000
fold_1,fit,s000342,g000000
fold_1,fit,s000343,g000000
fold_1,fit,s000344,g000343
fold_1,fit,s000345,g000343
fold_1,fit,s000346,g000343
fold_1,fit,s000347,g000343
fold_1,fit,s000348,g000343
fold_1,fit,s000349,g000343
fold_1,fit,s000350,g000343
fold_1,fit,s000351,g000343
fold_1,fit,s000352,g000343
fold_1,fit,s000353,g000343
fold_1,fit,s000354,g000343
fold_1,fit,s000355,g000343
fold_1,fit,s000356,g000000
fold_1,fit,s000357,g000000
fold_1,fit,s000358,g000000
fold_1,fit,s000359,g000000
fold_1,fit,s000360,g000000
fold_1,fit,s000361,g000000
fold_1,fit,s000362,g000000
fold_1,fit,s000363,g000000
fold_1,fit,s000364,g000000
fold_1,fit,s000365,g000000
fold_1,fit,s000366,g000000
fold_1,fit,s000367,g000000
fold_1,fit,s000368,g000000
fold_1,fit,s000369,g000000
fold_1,fit,s000370,g000000
fold_1,fit,s000371,g000000
fold_1,fit,s000372,g000000
fold_1,fit,s000373,g000000
fold_1,fit,s000374,g000000
fold_1,fit,s000375,g000000
fold_1,fit,s000376,g000000
fold_1,fit,s000377,g000000
fold_1,fit,s000378,g000000
fold_1,fit,s000379,g000000
fold_1,fit,s000380,g000000
fold_1,fit,s000381,g000000
fold_1,fit,s000382,g000000
fold_1,fit,s000383,g000000
fold_1,fit,s000384,g000000
fold_1,fit,s000385,g000000
fold_1,fit,s000386,g000000
fold_1,fit,s000387,g000000
fold_1,fit,s000388,g000000
fold_1,fit,s000389,g000000
fold_1,fit,s000390,g000000
fold_1,fit,s000391,g000000
fold_1,fit,s000392,g000000
fold_1,fit,s000393,g000000
fold_1,fit,s000394,g000000
fold_1,fit,s000395,g000000
fold_1,fit,s000396,g000000
fold_1,fit,s000397,g000000
fold_1,fit,s000398,g000000
fold_1,fit,s000399,g000000
fold_1,fit,s000400,g000000
fold_1,fit,s000401,g000000
fold_1,fit,s000402,g000000
fold_1,fit,s000403,g000000
fold_1,fit,s000404,g000000
fold_1,fit,s000405,g000000
fold_1,fit,s000406,g000000
fold_1,fit,s000407,g000000
fold_1,fit,s000408,g000000
fold_1,fit,s000409,g000000
fold_1,fit,s000410,g000000
fold_1,fit,s000411,g000000
fold_1,fit,s000412,g000000
fold_1,fit,s000413,g000000
fold_1,fit,s000414,g000000
fold_1,fit,s000415,g000000
fold_1,fit,s000416,g000000
fold_1,fit,s000417,g000000
fold_1,fit,s000418,g000000
fold_1,fit,s000419,g000000
fold_1,fit,s000420,g000000
fold_1,fit,s000421,g000000
fold_1,fit,s000422,g000000
fold_1,fit,s000423,g000000
fold_1,fit,s000424,g000000
fold_1,fit,s000425,g000000
fold_1,fit,s000426,g000000
fold_1,fit,s000427,g000000
fold_1,fit,s000428,g000000
fold_1,fit,s000429,g000000
fold_1,fit,s000430,g000000
fold_1,fit,s000431,g000000
fold_1,fit,s000432,g000000
fold_1,fit,s000433,g000000
fold_1,fit,s000434,g000000
fold_1,fit,s000435,g000000
fold_1,fit,s000436,g000000
fold_1,fit,s000437,g000000
fold_1,fit,s000438,g000000
fold_1,fit,s000439,g000000
fold_1,fit,s000440,g000000
fold_1,fit,s000441,g000000
fold_1,fit,s000442,g000000
fold_1,fit,s000443,g000000
fold_1,fit,s000444,g000000
fold_1,fit,s000445,g000000
fold_1,fit,s000446,g000000
fold_1,fit,s000447,g000000
fold_1,fit,s000448,g000000
fold_1,fit,s000449,g000000
fold_1,fit,s000450,g000000
fold_1,fit,s000451,g000000
fold_1,fit,s000452,g000000
fold_1,fit,s000453,g000000
fold_1,fit,s000454,g000000
fold_1,fit,s000455,g000000
fold_1,fit,s000456,g000000
fold_1,fit,s000457,g000000
fold_1,fit,s000458,g000000
fold_1,fit,s000459,g000000
fold_1,fit,s000460,g000000
fold_1,fit,s000461,g000000
fold_1,fit,s000462,g000000
fold_1,fit,s000463,g000000
fold_1,fit,s000464,g000000
fold_1,fit,s000465,g000000
fold_1,fit,s000466,g000000
fold_1,fit,s000467,g000000
fold_1,fit,s000468,g000000
fold_1,fit,s000469,g000000
fold_1,fit,s000470,g000000
fold_1,fit,s000471,g000000
fold_1,fit,s000472,g000000
fold_1,fit,s000473,g000000
fold_1,fit,s000474,g000000
fold_1,fit,s000475,g000000
fold_1,fit,s000476,g000000
fold_1,fit,s000477,g000000
fold_1,fit,s000478,g000000
fold_1,fit,s000479,g000000
fold_1,fit,s000480,g000000
fold_1,fit,s000481,g000000
fold_1,fit,s000482,g000000
fold_1,fit,s000483,g000000
fold_1,fit,s000484,g000000
fold_1,fit,s000485,g000000
fold_1,fit,s000486,g000000
fold_1,fit,s000487,g000000
fold_1,fit,s000488,g000000
fold_1,fit,s000489,g000000
fold_1,fit,s000490,g000000
fold_1,fit,s000491,g000000
fold_1,fit,s000492,g000000
fold_1,fit,s000493,g000000
fold_1,fit,s000494,g000000
fold_1,fit,s000495,g000000
fold_1,fit,s000496,g000000
fold_1,fit,s000497,g000000
fold_1,fit,s000498,g000000
fold_1,fit,s000499,g000000
fold_1,fit,s000500,g000000
fold_1,fit,s000501,g000000
fold_1,fit,s000502,g000000
fold_1,fit,s000503,g000000
fold_1,fit,s000504,g000000
fold_1,fit,s000505,g000000
fold_1,fit,s000506,g000000
fold_1,fit,s000507,g000000
fold_1,fit,s000508,g000000
fold_1,fit,s000509,g000000
fold_1,fit,s000510,g000000
fold_1,fit,s000511,g000000
fold_1,fit,s000512,g000000
fold_1,fit,s000513,g000000
fold_1,fit,s000514,g000000
fold_1,fit,s000515,g000000
fold_1,fit,s000516,g000000
fold_1,fit,s000517,g000000
fold_1,fit,s000518,g000000
fold_1,fit,s000519,g000000
fold_1,fit,s000520,g000000
fold_1,fit,s000521,g000000
fold_1,fit,s000522,g000000
fold_1,fit,s000523,g000000
fold_1,fit,s000524,g000000
fold_1,fit,s000525,g000000
fold_1,fit,s000526,g000000
fold_1,fit,s000527,g000000
fold_1,fit,s000528,g000000
fold_1,fit,s000529,g000000
fold_1,fit,s000530,g000000
fold_1,fit,s000531,g000000
fold_1,fit,s000532,g000000
fold_1,fit,s000533,g000000
fold_1,fit,s000534,g000000
fold_1,fit,s000535,g000000
fold_1,fit,s000536,g000000
fold_1,fit,s000537,g000000
fold_1,fit,s000538,g000000
fold_1,fit,s000539,g000000
fold_1,fit,s000540,g000000
fold_1,fit,s000541,g000000
fold_1,fit,s000542,g000000
fold_1,fit,s000543,g000000
fold_1,fit,s000544,g000000
fold_1,fit,s000545,g000000
fold_1,fit,s000546,g000000
fold_1,fit,s000547,g000000
fold_1,fit,s000548,g000000
fold_1,fit,s000549,g000000
fold_1,fit,s000550,g000000
fold_1,fit,s000551,g000000
fold_1,fit,s000552,g000000
fold_1,fit,s000553,g000000
fold_1,fit,s000554,g000000
fold_1,fit,s000555,g000000
fold_1,fit,s000556,g000000
fold_1,fit,s000557,g000000
fold_1,fit,s000558,g000000
fold_1,fit,s000559,g000000
fold_1,fit,s000560,g000000
fold_1,fit,s000561,g000000
fold_1,fit,s000562,g000000
fold_1,fit,s000563,g000000
fold_1,fit,s000564,g000000
fold_1,fit,s000565,g000000
fold_1,fit,s000566,g000000
fold_1,fit,s000567,g000000
fold_1,fit,s000568,g000000
fold_1,fit,s000569,g000000
fold_1,fit,s000570,g000000
fold_1,fit,s000571,g000000
fold_1,fit,s000572,g000000
fold_1,fit,s000573,g000000
fold_1,fit,s000574,g000000
fold_1,fit,s000575,g000000
fold_1,fit,s000576,g000000
fold_1,fit,s000577,g000000
fold_1,fit,s000578,g000000
fold_1,fit,s000579,g000000
fold_1,fit,s000580,g000000
fold_1,fit,s000581,g000000
fold_1,fit,s000582,g000000
fold_1,fit,s000583,g000000
fold_1,fit,s000584,g000000
fold_1,fit,s000585,g000000
fold_1,fit,s000586,g000000
fold_1,fit,s000587,g000000
fold_1,fit,s000588,g000000
fold_1,fit,s000589,g000000
fold_1,fit,s000590,g000000
fold_1,fit,s000591,g000000
fold_1,fit,s000592,g000000
fold_1,fit,s000593,g000000
fold_1,fit,s000594,g000000
fold_1,fit,s000595,g000000
fold_1,fit,s000596,g000000
fold_1,fit,s000597,g000000
fold_1,fit,s000598,g000000
fold_1,fit,s000599,g000000
fold_1,fit,s000600,g000000
fold_1,fit,s000601,g000000
fold_1,fit,s000602,g000000
fold_1,fit,s000603,g000000
fold_1,fit,s000604,g000000
fold_1,fit,s000605,g000000
fold_1,fit,s000606,g000000
fold_1,fit,s000607,g000000
fold_1,fit,s000608,g000000
fold_1,fit,s000684,g000683
fold_1,fit,s000685,g000683
fold_1,fit,s000686,g000683
fold_1,fit,s000687,g000683
fold_1,fit,s000688,g000683
fold_1,fit,s000689,g000683
fold_1,fit,s000690,g000683
fold_1,fit,s000691,g000683
fold_1,fit,s000692,g000683
fold_1,fit,s000693,g000683
fold_1,fit,s000694,g000683
fold_1,fit,s000695,g000683
fold_1,fit,s000696,g000683
fold_1,fit,s000697,g000683
fold_1,fit,s000698,g000683
fold_1,fit,s000699,g000683
fold_1,fit,s000700,g000683
fold_1,fit,s000701,g000683
fold_1,fit,s000702,g000683
fold_1,fit,s000703,g000683
fold_1,fit,s000704,g000683
fold_1,fit,s000705,g000683
fold_1,fit,s000706,g000683
fold_1,fit,s000707,g000683
fold_1,fit,s000708,g000683
fold_1,fit,s000709,g000683
fold_1,fit,s000710,g000683
fold_1,fit,s000711,g000683
fold_1,fit,s000712,g000683
fold_1,fit,s000713,g000683
fold_1,fit,s000714,g000683
fold_1,fit,s000715,g000683
fold_1,fit,s000716,g000683
fold_1,fit,s000717,g000683
fold_1,fit,s000718,g000683
fold_1,fit,s000719,g000683
fold_1,fit,s000720,g000683
fold_1,fit,s000721,g000683
fold_1,fit,s000722,g000683
fold_1,fit,s000723,g000683
fold_1,fit,s000724,g000683
fold_1,fit,s000725,g000683
fold_1,fit,s000726,g000683
fold_1,fit,s000727,g000683
fold_1,fit,s000728,g000683
fold_1,fit,s000729,g000683
fold_1,fit,s000730,g000683
fold_1,fit,s000731,g000683
fold_1,fit,s000732,g000683
fold_1,fit,s000733,g000683
fold_1,fit,s000734,g000683
fold_1,fit,s000735,g000683
fold_1,fit,s000736,g000683
fold_1,fit,s000737,g000683
fold_1,fit,s000738,g000683
fold_1,fit,s000739,g000683
fold_1,fit,s000740,g000683
fold_1,fit,s000741,g000740
fold_1,fit,s000742,g000740
fold_1,fit,s000743,g000740
fold_1,fit,s000744,g000740
fold_1,fit,s000745,g000740
fold_1,fit,s000746,g000740
fold_1,fit,s000747,g000740
fold_1,fit,s000748,g000740
fold_1,fit,s000749,g000740
fold_1,fit,s000750,g000740
fold_1,fit,s000751,g000740
fold_1,fit,s000752,g000740
fold_1,fit,s000753,g000740
fold_1,fit,s000754,g000740
fold_1,fit,s000755,g000740
fold_1,fit,s000756,g000740
fold_1,fit,s000757,g000740
fold_1,fit,s000758,g000740
fold_1,fit,s000759,g000740
fold_1,fit,s000760,g000740
fold_1,fit,s000761,g000740
fold_1,fit,s000762,g000740
fold_1,fit,s000763,g000740
fold_1,fit,s000764,g000740
fold_1,fit,s000765,g000740
fold_1,fit,s000766,g000740
fold_1,fit,s000767,g000740
fold_1,fit,s000913,g000912
fold_1,fit,s000914,g000912
fold_1,fit,s000915,g000912
fold_1,fit,s000916,g000912
fold_1,fit,s000917,g000912
fold_1,fit,s000918,g000912
fold_1,fit,s000919,g000912
fold_1,fit,s000920,g000912
fold_1,fit,s000921,g000912
fold_1,fit,s000922,g000912
fold_1,fit,s000923,g000912
fold_1,fit,s000924,g000912
fold_1,fit,s000925,g000924
fold_1,fit,s000926,g000924
fold_1,fit,s000927,g000924
fold_1,fit,s000928,g000924
fold_1,fit,s000929,g000924
fold_1,fit,s000930,g000924
fold_1,fit,s000931,g000924
fold_1,fit,s000932,g000924
fold_1,fit,s000933,g000924
fold_1,fit,s000934,g000924
fold_1,fit,s000935,g000924
fold_1,fit,s000936,g000924
fold_1,fit,s000937,g000924
fold_1,fit,s000938,g000924
fold_1,fit,s000939,g000924
fold_1,fit,s000940,g000924
fold_1,fit,s000941,g000924
fold_1,fit,s000942,g000924
fold_1,fit,s000943,g000924
fold_1,fit,s000944,g000924
fold_1,fit,s000945,g000924
fold_1,fit,s000946,g000924
fold_1,fit,s000947,g000924
fold_1,fit,s000948,g000924
fold_1,fit,s000949,g000924
fold_1,fit,s000950,g000924
fold_1,fit,s000951,g000924
fold_1,fit,s000952,g000924
fold_1,fit,s000953,g000924
fold_1,fit,s000954,g000924
fold_1,fit,s000955,g000924
fold_1,fit,s000956,g000924
fold_1,fit,s000957,g000924
fold_1,fit,s000958,g000924
fold_1,fit,s000959,g000924
fold_1,fit,s000960,g000924
fold_1,fit,s000961,g000924
fold_1,fit,s000962,g000924
fold_1,fit,s000963,g000924
fold_1,fit,s000964,g000924
fold_1,fit,s000965,g000924
fold_1,fit,s000966,g000924
fold_1,fit,s000967,g000924
fold_1,fit,s000968,g000924
fold_1,fit,s000969,g000924
fold_1,fit,s000970,g000924
fold_1,fit,s000971,g000924
fold_1,fit,s000972,g000924
fold_1,fit,s000973,g000924
fold_1,fit,s000974,g000924
fold_1,fit,s000975,g000924
fold_1,fit,s000976,g000924
fold_1,fit,s000977,g000924
fold_1,fit,s000978,g000924
fold_1,fit,s000979,g000924
fold_1,fit,s000980,g000924
fold_1,fit,s000981,g000924
fold_1,fit,s000982,g000924
fold_1,fit,s000983,g000924
fold_1,fit,s000984,g000924
fold_1,fit,s000985,g000924
fold_1,fit,s000986,g000924
fold_1,fit,s000987,g000924
fold_1,fit,s000988,g000924
fold_1,fit,s000989,g000924
fold_1,fit,s000990,g000924
fold_1,fit,s000991,g000924
fold_1,fit,s000992,g000924
fold_1,fit,s000993,g000924
fold_1,fit,s000994,g000924
fold_1,fit,s000995,g000924
fold_1,fit,s000996,g000924
fold_1,fit,s000997,g000996
fold_1,fit,s000998,g000996
fold_1,fit,s000999,g000996
fold_1,fit,s001000,g000996
fold_1,fit,s001001,g000996
fold_1,fit,s001002,g000996
fold_1,fit,s001003,g000996
fold_1,fit,s001004,g000996
fold_1,fit,s001005,g000996
fold_1,fit,s001006,g000996
fold_1,fit,s001007,g000996
fold_1,fit,s001008,g000996
fold_1,fit,s001009,g000996
fold_1,fit,s001010,g000996
fold_1,fit,s001011,g000996
fold_1,fit,s001012,g000996
fold_1,fit,s001049,g001048
fold_1,fit,s001050,g001048
fold_1,fit,s001051,g001048
fold_1,fit,s001052,g001048
fold_1,fit,s001053,g001048
fold_1,fit,s001054,g001048
fold_1,fit,s001055,g001054
fold_1,fit,s001056,g001054
fold_1,fit,s001057,g001054
fold_1,fit,s001058,g001054
fold_1,fit,s001059,g001054
fold_1,fit,s001060,g001054
fold_1,fit,s001061,g001054
fold_1,fit,s001062,g001054
fold_1,fit,s001063,g001054
fold_1,fit,s001064,g001054
fold_1,fit,s001065,g001054
fold_1,fit,s001066,g001054
fold_1,fit,s001067,g001054
fold_1,fit,s001068,g001054
fold_1,fit,s001069,g001054
fold_1,fit,s001070,g001054
fold_1,fit,s001071,g001054
fold_1,fit,s001072,g001054
fold_1,fit,s001073,g001054
fold_1,fit,s001074,g001054
fold_1,fit,s001075,g001054
fold_1,fit,s001076,g001054
fold_1,fit,s001077,g001054
fold_1,fit,s001078,g001054
fold_1,fit,s001079,g001054
fold_1,fit,s001080,g001054
fold_1,fit,s001081,g001054
fold_1,fit,s001082,g001054
fold_1,fit,s001083,g001054
fold_1,fit,s001084,g001054
fold_1,fit,s001085,g001054
fold_1,fit,s001086,g001054
fold_1,fit,s001087,g001054
fold_1,fit,s001088,g001054
fold_1,fit,s001089,g001054
fold_1,fit,s001090,g001054
fold_1,fit,s001091,g001054
fold_1,fit,s001092,g001054
fold_1,fit,s001093,g001054
fold_1,fit,s001094,g001054
fold_1,fit,s001095,g001054
fold_1,fit,s001096,g001054
fold_1,fit,s001097,g001054
fold_1,fit,s001098,g001054
fold_1,fit,s001099,g001054
fold_1,fit,s001100,g001054
fold_1,fit,s001101,g001054
fold_1,fit,s001102,g001054
fold_1,fit,s001103,g001054
fold_1,fit,s001104,g001054
fold_1,fit,s001105,g001054
fold_1,fit,s001106,g001054
fold_1,fit,s001194,g001193
fold_1,fit,s001195,g001193
fold_1,fit,s001196,g001193
fold_1,fit,s001197,g001193
fold_1,fit,s001198,g001193
fold_1,fit,s001199,g001193
fold_1,fit,s001200,g001193
fold_1,fit,s001201,g001193
fold_1,fit,s001202,g001193
fold_1,fit,s001203,g001193
fold_1,fit,s001204,g001193
fold_1,fit,s001205,g001193
fold_1,fit,s001206,g001193
fold_1,fit,s001207,g001193
fold_1,fit,s001208,g001193
fold_1,fit,s001209,g001193
fold_1,fit,s001210,g001193
fold_1,fit,s001211,g001193
fold_1,fit,s001212,g001193
fold_1,fit,s001213,g001193
fold_1,fit,s001214,g001193
fold_1,fit,s001215,g001193
fold_1,fit,s001216,g001193
fold_1,fit,s001217,g001193
fold_1,fit,s001218,g001193
fold_1,fit,s001219,g001193
fold_1,fit,s001220,g001193
fold_1,fit,s001581,g001580
fold_1,fit,s001582,g001580
fold_1,fit,s001583,g001580
fold_1,fit,s001584,g001580
fold_1,fit,s001585,g001580
fold_1,fit,s001586,g001580
fold_1,fit,s001587,g001580
fold_1,fit,s001588,g001580
fold_1,fit,s001589,g001580
fold_1,fit,s001590,g001580
fold_1,fit,s001591,g001580
fold_1,fit,s001592,g001580
fold_1,fit,s001593,g001580
fold_1,fit,s001594,g001580
fold_1,fit,s001595,g001580
fold_1,fit,s001596,g001580
fold_1,fit,s001597,g001580
fold_1,fit,s001598,g001580
fold_1,fit,s001599,g001580
fold_1,fit,s001600,g001580
fold_1,fit,s001601,g001580
fold_1,fit,s001602,g001580
fold_1,fit,s001603,g001580
fold_1,fit,s001604,g001580
fold_1,fit,s001605,g001580
fold_1,fit,s001606,g001580
fold_1,fit,s001607,g001580
fold_1,fit,s001608,g001580
fold_1,fit,s001609,g001580
fold_1,fit,s001610,g001580
fold_1,fit,s001611,g001580
fold_1,fit,s001612,g001580
fold_1,fit,s001613,g001580
fold_1,fit,s001614,g001580
fold_1,fit,s001615,g001580
fold_1,fit,s001616,g001580
fold_1,fit,s001617,g001580
fold_1,fit,s001618,g001580
fold_1,fit,s001619,g001580
fold_1,fit,s001620,g001580
fold_1,fit,s001621,g001580
fold_1,fit,s001622,g001580
fold_1,fit,s001623,g001580
fold_1,fit,s001624,g001580
fold_1,fit,s001625,g001580
fold_1,fit,s001626,g001580
fold_1,fit,s001627,g001580
fold_1,fit,s001733,g001732
fold_1,fit,s001734,g001732
fold_1,fit,s001735,g001732
fold_1,fit,s001736,g001732
fold_1,fit,s001737,g001732
fold_1,fit,s001738,g001732
fold_1,fit,s001739,g001732
fold_1,fit,s001740,g001732
fold_1,fit,s001741,g001732
fold_1,fit,s001742,g001732
fold_1,fit,s001743,g001732
fold_1,fit,s001744,g001732
fold_1,fit,s001745,g001732
fold_1,fit,s001746,g001732
fold_1,fit,s001747,g001732
fold_1,fit,s001748,g001732
fold_1,fit,s001749,g001732
fold_1,fit,s001750,g001732
fold_1,fit,s001751,g001732
fold_1,fit,s001752,g001732
fold_1,fit,s001753,g001732
fold_1,fit,s001754,g001732
fold_1,fit,s001755,g001732
fold_1,fit,s001756,g001732
fold_1,fit,s001757,g001732
fold_1,fit,s001758,g001732
