sample_id,nominal_audio,nominal_video,audio_effective,file_exists,visual_effective,decoded_frames,reason,media_sha256
s000050,False,False,False,False,False,0,file_missing,
s000051,False,False,False,False,False,0,file_missing,
s000052,False,False,False,False,False,0,file_missing,
s000053,False,False,False,False,False,0,file_missing,
s000054,False,False,False,False,False,0,file_missing,
s000055,False,False,False,False,False,0,file_missing,
s000056,False,False,False,False,False,0,file_missing,
s000057,False,False,False,False,False,0,file_missing,
s000058,False,False,False,False,False,0,file_missing,
s000059,False,False,False,False,False,0,file_missing,
s000060,False,False,False,False,False,0,file_missing,
s000061,False,False,False,False,False,0,file_missing,
s000062,False,False,False,False,False,0,file_missing,
s000063,False,False,False,False,False,0,file_missing,
s000064,False,False,False,False,False,0,file_missing,
s000065,False,False,False,False,False,0,file_missing,
s000066,False,False,False,False,False,0,file_missing,
s000067,False,False,False,False,False,0,file_missing,
s000068,False,False,False,False,False,0,file_missing,
s000069,False,False,False,False,False,0,file_missing,
s000070,False,False,False,False,False,0,file_missing,
s000071,False,False,False,False,False,0,file_missing,
s000072,False,False,False,False,False,0,file_missing,
s000073,False,False,False,False,False,0,file_missing,
s000074,False,False,False,False,False,0,file_missing,
s000075,False,False,False,False,False,0,file_missing,
s000076,False,False,False,False,False,0,file_missing,
s000077,False,False,False,False,False,0,file_missing,
s000078,False,False,False,False,False,0,file_missing,
s000079,False,False,False,False,False,0,file_missing,
s000080,False,False,False,False,False,0,file_missing,
s000081,False,False,False,False,False,0,file_missing,
s000082,False,False,False,False,False,0,file_missing,
s000083,False,False,False,False,False,0,file_missing,
s000084,False,False,False,False,False,0,file_missing,
s000085,False,False,False,False,False,0,file_missing,
s000086,False,False,False,False,False,0,file_missing,
s000087,False,False,False,False,False,0,file_missing,
s000088,False,False,False,False,False,0,file_missing,
s000089,False,False,False,False,False,0,file_missing,
s000090,False,False,False,False,False,0,file_missing,
s000091,False,False,False,False,False,0,file_missing,
s000092,False,False,False,False,False,0,file_missing,
s000093,False,False,False,False,False,0,file_missing,
s000094,False,False,False,False,False,0,file_missing,
s000095,False,False,False,False,False,0,file_missing,
s000096,False,False,False,False,False,0,file_missing,
s000097,False,False,False,False,False,0,file_missing,
s000098,False,False,False,False,False,0,file_missing,
s000099,False,False,False,False,False,0,file_missing,
s000100,False,False,False,False,False,0,file_missing,
s000101,False,False,False,False,False,0,file_missing,
s000102,False,False,False,False,False,0,file_missing,
s000103,False,False,False,False,False,0,file_missing,
s000104,False,False,False,False,False,0,file_missing,
s000105,False,False,False,False,False,0,file_missing,
s000106,False,False,False,False,False,0,file_missing,
s000107,False,False,False,False,False,0,file_missing,
s000108,False,False,False,False,False,0,file_missing,
s000109,False,False,False,False,False,0,file_missing,
s000110,False,False,False,False,False,0,file_missing,
s000111,False,False,False,False,False,0,file_missing,
s000112,False,False,False,False,False,0,file_missing,
s000113,False,False,False,False,False,0,file_missing,
s000114,False,False,False,False,False,0,file_missing,
s000115,False,False,False,False,False,0,file_missing,
s000116,False,False,False,False,False,0,file_missing,
s000117,False,False,False,False,False,0,file_missing,
s000118,False,False,False,False,False,0,file_missing,
s000119,False,False,False,False,False,0,file_missing,
s000120,False,False,False,False,False,0,file_missing,
s000121,False,False,False,False,False,0,file_missing,
s000122,False,False,False,False,False,0,file_missing,
s000123,False,False,False,False,False,0,file_missing,
s000124,False,False,False,False,False,0,file_missing,
s000125,False,False,False,False,False,0,file_missing,
s000126,False,False,False,False,False,0,file_missing,
s000127,False,False,False,False,False,0,file_missing,
s000128,False,False,False,False,False,0,file_missing,
s000129,False,False,False,False,False,0,file_missing,
s000130,False,False,False,False,False,0,file_missing,
s000131,False,False,False,False,False,0,file_missing,
s000132,False,False,False,False,False,0,file_missing,
s000133,False,False,False,False,False,0,file_missing,
s000134,False,False,False,False,False,0,file_missing,
s000135,False,False,False,False,False,0,file_missing,
s000136,False,False,False,False,False,0,file_missing,
s000137,False,False,False,False,False,0,file_missing,
s000138,False,False,False,False,False,0,file_missing,
s000139,False,False,False,False,False,0,file_missing,
s000140,False,False,False,False,False,0,file_missing,
s000141,False,False,False,False,False,0,file_missing,
s000142,False,False,False,False,False,0,file_missing,
s000143,False,False,False,False,False,0,file_missing,
s000144,False,False,False,False,False,0,file_missing,
s000145,False,False,False,False,False,0,file_missing,
s000146,False,False,False,False,False,0,file_missing,
s000147,False,False,False,False,False,0,file_missing,
s000148,False,False,False,False,False,0,file_missing,
s000149,False,False,False,False,False,0,file_missing,
s000150,False,False,False,False,False,0,file_missing,
s000151,False,False,False,False,False,0,file_missing,
s000152,False,False,False,False,False,0,file_missing,
s000153,False,False,False,False,False,0,file_missing,
s000154,False,False,False,False,False,0,file_missing,
s000155,False,False,False,False,False,0,file_missing,
s000156,False,False,False,False,False,0,file_missing,
s000157,False,False,False,False,False,0,file_missing,
s000158,False,False,False,False,False,0,file_missing,
s000159,False,False,False,False,False,0,file_missing,
s000160,False,False,False,False,False,0,file_missing,
s000161,False,False,False,False,False,0,file_missing,
s000162,False,False,False,False,False,0,file_missing,
s000163,False,False,False,False,False,0,file_missing,
s000164,False,False,False,False,False,0,file_missing,
s000165,False,False,False,False,False,0,file_missing,
s000166,False,False,False,False,False,0,file_missing,
s000167,False,False,False,False,False,0,file_missing,
s000168,False,False,False,False,False,0,file_missing,
s000169,False,False,False,False,False,0,file_missing,
s000170,False,False,False,False,False,0,file_missing,
s000171,False,False,False,False,False,0,file_missing,
s000172,False,False,False,False,False,0,file_missing,
s000173,False,False,False,False,False,0,file_missing,
s000174,False,False,False,False,False,0,file_missing,
s000175,False,False,False,False,False,0,file_missing,
s000176,False,False,False,False,False,0,file_missing,
s000177,False,False,False,False,False,0,file_missing,
s000178,False,False,False,False,False,0,file_missing,
s000179,False,False,False,False,False,0,file_missing,
s000180,False,False,False,False,False,0,file_missing,
s000181,False,False,False,False,False,0,file_missing,
s000182,False,False,False,False,False,0,file_missing,
s000183,False,False,False,False,False,0,file_missing,
s000184,False,False,False,False,False,0,file_missing,
s000185,False,False,False,False,False,0,file_missing,
s000186,False,False,False,False,False,0,file_missing,
s000187,False,False,False,False,False,0,file_missing,
s000188,False,False,False,False,False,0,file_missing,
s000189,False,False,False,False,False,0,file_missing,
s000190,False,False,False,False,False,0,file_missing,
s000191,False,False,False,False,False,0,file_missing,
s000192,False,False,False,False,False,0,file_missing,
s000193,False,False,False,False,False,0,file_missing,
s000194,False,False,False,False,False,0,file_missing,
s000195,False,False,False,False,False,0,file_missing,
s000196,False,False,False,False,False,0,file_missing,
s000197,False,False,False,False,False,0,file_missing,
s000198,False,False,False,False,False,0,file_missing,
s000199,False,False,False,False,False,0,file_missing,
s000200,False,False,False,False,False,0,file_missing,
s000201,False,False,False,False,False,0,file_missing,
s000202,False,False,False,False,False,0,file_missing,
s000203,False,False,False,False,False,0,file_missing,
s000204,False,False,False,False,False,0,file_missing,
s000205,False,False,False,False,False,0,file_missing,
s000206,False,False,False,False,False,0,file_missing,
s000207,False,False,False,False,False,0,file_missing,
s000208,False,False,False,False,False,0,file_missing,
s000209,False,False,False,False,False,0,file_missing,
s000210,False,False,False,False,False,0,file_missing,
s000211,False,False,False,False,False,0,file_missing,
s000212,False,False,False,False,False,0,file_missing,
s000213,False,False,False,False,False,0,file_missing,
s000214,False,False,False,False,False,0,file_missing,
s000215,False,False,False,False,False,0,file_missing,
s000216,False,False,False,False,False,0,file_missing,
s000217,False,False,False,False,False,0,file_missing,
s000218,False,False,False,False,False,0,file_missing,
s000219,False,False,False,False,False,0,file_missing,
s000220,False,False,False,False,False,0,file_missing,
s000221,False,False,False,False,False,0,file_missing,
s000222,False,False,False,False,False,0,file_missing,
s000223,False,False,False,False,False,0,file_missing,
s000224,False,False,False,False,False,0,file_missing,
s000225,False,False,False,False,False,0,file_missing,
s000226,False,False,False,False,False,0,file_missing,
s000227,False,False,False,False,False,0,file_missing,
s000228,False,False,False,False,False,0,file_missing,
s000229,False,False,False,False,False,0,file_missing,
s000230,False,False,False,False,False,0,file_missing,
s000231,False,False,False,False,False,0,file_missing,
s000232,False,False,False,False,False,0,file_missing,
s000233,False,False,False,False,False,0,file_missing,
s000234,False,False,False,False,False,0,file_missing,
s000235,False,False,False,False,False,0,file_missing,
s000236,False,False,False,False,False,0,file_missing,
s000237,False,False,False,False,False,0,file_missing,
s000238,False,False,False,False,False,0,file_missing,
s000239,False,False,False,False,False,0,file_missing,
s000240,False,False,False,False,False,0,file_missing,
s000241,False,False,False,False,False,0,file_missing,
s000242,False,False,False,False,False,0,file_missing,
s000243,False,False,False,False,False,0,file_missing,
s000244,False,False,False,False,False,0,file_missing,
s000245,False,False,False,False,False,0,file_missing,
s000246,False,False,False,False,False,0,file_missing,
s000247,False,False,False,False,False,0,file_missing,
s000248,False,False,False,False,False,0,file_missing,
s000249,False,False,False,False,False,0,file_missing,
s000250,False,False,False,False,False,0,file_missing,
s000251,False,False,False,False,False,0,file_missing,
s000252,False,False,False,False,False,0,file_missing,
s000253,False,False,False,False,False,0,file_missing,
s000254,False,False,False,False,False,0,file_missing,
s000255,False,False,False,False,False,0,file_missing,
s000256,False,False,False,False,False,0,file_missing,
s000257,False,False,False,False,False,0,file_missing,
s000258,False,False,False,False,False,0,file_missing,
s000259,False,False,False,False,False,0,file_missing,
s000260,False,False,False,False,False,0,file_missing,
s000261,False,False,False,False,False,0,file_missing,
s000262,False,False,False,False,False,0,file_missing,
s000263,False,False,False,False,False,0,file_missing,
s000264,False,False,False,False,False,0,file_missing,
s000265,False,False,False,False,False,0,file_missing,
s000266,False,False,False,False,False,0,file_missing,
s000267,False,False,False,False,False,0,file_missing,
s000268,False,False,False,False,False,0,file_missing,
s000269,False,False,False,False,False,0,file_missing,
s000270,False,False,False,False,False,0,file_missing,
s000271,False,False,False,False,False,0,file_missing,
s000272,False,False,False,False,False,0,file_missing,
s000273,False,False,False,False,False,0,file_missing,
s000274,False,False,False,False,False,0,file_missing,
s000275,False,False,False,False,False,0,file_missing,
s000276,False,False,False,False,False,0,file_missing,
s000277,False,False,False,False,False,0,file_missing,
s000278,False,False,False,False,False,0,file_missing,
s000279,False,False,False,False,False,0,file_missing,
s000280,False,False,False,False,False,0,file_missing,
s000281,False,False,False,False,False,0,file_missing,
s000282,False,False,False,False,False,0,file_missing,
s000283,False,False,False,False,False,0,file_missing,
s000284,False,False,False,False,False,0,file_missing,
s000285,False,False,False,False,False,0,file_missing,
s000286,False,False,False,False,False,0,file_missing,
s000287,False,False,False,False,False,0,file_missing,
s000288,False,False,False,False,False,0,file_missing,
s000289,False,False,False,False,False,0,file_missing,
s000290,False,False,False,False,False,0,file_missing,
s000291,False,False,False,False,False,0,file_missing,
s000292,False,False,False,False,False,0,file_missing,
s000293,False,False,False,False,False,0,file_missing,
s000294,False,False,False,False,False,0,file_missing,
s000295,False,False,False,False,False,0,file_missing,
s000296,False,False,False,False,False,0,file_missing,
s000297,False,False,False,False,False,0,file_missing,
s000298,False,False,False,False,False,0,file_missing,
s000299,False,False,False,False,False,0,file_missing,
s000300,False,False,False,False,False,0,file_missing,
s000301,False,False,False,False,False,0,file_missing,
s000302,False,False,False,False,False,0,file_missing,
s000303,False,False,False,False,False,0,file_missing,
s000304,False,False,False,False,False,0,file_missing,
s000305,False,False,False,False,False,0,file_missing,
s000306,False,False,False,False,False,0,file_missing,
s000307,False,False,False,False,False,0,file_missing,
s000308,False,False,False,False,False,0,file_missing,
s000309,False,False,False,False,False,0,file_missing,
s000310,False,False,False,False,False,0,file_missing,
s000311,False,False,False,False,False,0,file_missing,
s000312,False,False,False,False,False,0,file_missing,
s000313,False,False,False,False,False,0,file_missing,
s000314,False,False,False,False,False,0,file_missing,
s000315,False,False,False,False,False,0,file_missing,
s000316,False,False,False,False,False,0,file_missing,
s000317,False,False,False,False,False,0,file_missing,
s000318,False,False,False,False,False,0,file_missing,
s000319,False,False,False,False,False,0,file_missing,
s000320,False,False,False,False,False,0,file_missing,
s000321,False,False,False,False,False,0,file_missing,
s000322,False,False,False,False,False,0,file_missing,
s000323,False,False,False,False,False,0,file_missing,
s000324,False,False,False,False,False,0,file_missing,
s000325,False,False,False,False,False,0,file_missing,
s000326,False,False,False,False,False,0,file_missing,
s000327,False,False,False,False,False,0,file_missing,
s000328,False,False,False,False,False,0,file_missing,
s000329,False,False,False,False,False,0,file_missing,
s000330,False,False,False,False,False,0,file_missing,
s000331,False,False,False,False,False,0,file_missing,
s000332,False,False,False,False,False,0,file_missing,
s000333,False,False,False,False,False,0,file_missing,
s000334,False,False,False,False,False,0,file_missing,
s000335,False,False,False,False,False,0,file_missing,
s000336,False,False,False,False,False,0,file_missing,
s000337,False,False,False,False,False,0,file_missing,
s000338,False,False,False,False,False,0,file_missing,
s000339,False,False,False,False,False,0,file_missing,
s000340,False,False,False,False,False,0,file_missing,
s000341,False,False,False,False,False,0,file_missing,
s000342,False,False,False,False,False,0,file_missing,
s000343,False,False,False,False,False,0,file_missing,
s000344,False,False,False,False,False,0,file_missing,
s000345,False,False,False,False,False,0,file_missing,
s000346,False,False,False,False,False,0,file_missing,
s000347,False,False,False,False,False,0,file_missing,
s000348,False,False,False,False,False,0,file_missing,
s000349,False,False,False,False,False,0,file_missing,
s000350,False,False,False,False,False,0,file_missing,
s000351,False,False,False,False,False,0,file_missing,
s000352,False,False,False,False,False,0,file_missing,
s000353,False,False,False,False,False,0,file_missing,
s000354,False,False,False,False,False,0,file_missing,
s000355,False,False,False,False,False,0,file_missing,
s000356,False,False,False,False,False,0,file_missing,
s000357,False,False,False,False,False,0,file_missing,
s000358,False,False,False,False,False,0,file_missing,
s000359,False,False,False,False,False,0,file_missing,
s000360,False,False,False,False,False,0,file_missing,
s000361,False,False,False,False,False,0,file_missing,
s000362,False,False,False,False,False,0,file_missing,
s000363,False,False,False,False,False,0,file_missing,
s000364,False,False,False,False,False,0,file_missing,
s000365,False,False,False,False,False,0,file_missing,
s000366,False,False,False,False,False,0,file_missing,
s000367,False,False,False,False,False,0,file_missing,
s000368,False,False,False,False,False,0,file_missing,
s000369,False,False,False,False,False,0,file_missing,
s000370,False,False,False,False,False,0,file_missing,
s000371,False,False,False,False,False,0,file_missing,
s000372,False,False,False,False,False,0,file_missing,
s000373,False,False,False,False,False,0,file_missing,
s000374,False,False,False,False,False,0,file_missing,
s000375,False,False,False,False,False,0,file_missing,
s000376,False,False,False,False,False,0,file_missing,
s000377,False,False,False,False,False,0,file_missing,
s000378,False,False,False,False,False,0,file_missing,
s000379,False,False,False,False,False,0,file_missing,
s000380,False,False,False,False,False,0,file_missing,
s000381,False,False,False,False,False,0,file_missing,
s000382,False,False,False,False,False,0,file_missing,
s000383,False,False,False,False,False,0,file_missing,
s000384,False,False,False,False,False,0,file_missing,
s000385,False,False,False,False,False,0,file_missing,
s000386,False,False,False,False,False,0,file_missing,
s000387,False,False,False,False,False,0,file_missing,
s000388,False,False,False,False,False,0,file_missing,
s000389,False,False,False,False,False,0,file_missing,
s000390,False,False,False,False,False,0,file_missing,
s000391,False,False,False,False,False,0,file_missing,
s000392,False,False,False,False,False,0,file_missing,
s000393,False,False,False,False,False,0,file_missing,
s000394,False,False,False,False,False,0,file_missing,
s000395,False,False,False,False,False,0,file_missing,
s000396,False,False,False,False,False,0,file_missing,
s000397,False,False,False,False,False,0,file_missing,
s000398,False,False,False,False,False,0,file_missing,
s000399,False,False,False,False,False,0,file_missing,
s000400,False,False,False,False,False,0,file_missing,
s000401,False,False,False,False,False,0,file_missing,
s000402,False,False,False,False,False,0,file_missing,
s000403,False,False,False,False,False,0,file_missing,
s000404,False,False,False,False,False,0,file_missing,
s000405,False,False,False,False,False,0,file_missing,
s000406,False,False,False,False,False,0,file_missing,
s000407,False,False,False,False,False,0,file_missing,
s000408,False,False,False,False,False,0,file_missing,
s000409,False,False,False,False,False,0,file_missing,
s000410,False,False,False,False,False,0,file_missing,
s000411,False,False,False,False,False,0,file_missing,
s000412,False,False,False,False,False,0,file_missing,
s000413,False,False,False,False,False,0,file_missing,
s000414,False,False,False,False,False,0,file_missing,
s000415,False,False,False,False,False,0,file_missing,
s000416,False,False,False,False,False,0,file_missing,
s000417,False,False,False,False,False,0,file_missing,
s000418,False,False,False,False,False,0,file_missing,
s000419,False,False,False,False,False,0,file_missing,
s000420,False,False,False,False,False,0,file_missing,
s000421,False,False,False,False,False,0,file_missing,
s000422,False,False,False,False,False,0,file_missing,
s000423,False,False,False,False,False,0,file_missing,
s000424,False,False,False,False,False,0,file_missing,
s000425,False,False,False,False,False,0,file_missing,
s000426,False,False,False,False,False,0,file_missing,
s000427,False,False,False,False,False,0,file_missing,
s000428,False,False,False,False,False,0,file_missing,
s000429,False,False,False,False,False,0,file_missing,
s000430,False,False,False,False,False,0,file_missing,
s000431,False,False,False,False,False,0,file_missing,
s000432,False,False,False,False,False,0,file_missing,
s000433,False,False,False,False,False,0,file_missing,
s000434,False,False,False,False,False,0,file_missing,
s000435,False,False,False,False,False,0,file_missing,
s000436,False,False,False,False,False,0,file_missing,
s000437,False,False,False,False,False,0,file_missing,
s000438,False,False,False,False,False,0,file_missing,
s000439,False,False,False,False,False,0,file_missing,
s000440,False,False,False,False,False,0,file_missing,
s000441,False,False,False,False,False,0,file_missing,
s000442,False,False,False,False,False,0,file_missing,
s000443,False,False,False,False,False,0,file_missing,
s000444,False,False,False,False,False,0,file_missing,
s000445,False,False,False,False,False,0,file_missing,
s000446,False,False,False,False,False,0,file_missing,
s000447,False,False,False,False,False,0,file_missing,
s000448,False,False,False,False,False,0,file_missing,
s000449,False,False,False,False,False,0,file_missing,
s000450,False,False,False,False,False,0,file_missing,
s000451,False,False,False,False,False,0,file_missing,
s000452,False,False,False,False,False,0,file_missing,
s000453,False,False,False,False,False,0,file_missing,
s000454,False,False,False,False,False,0,file_missing,
s000455,False,False,False,False,False,0,file_missing,
s000456,False,False,False,False,False,0,file_missing,
s000457,False,False,False,False,False,0,file_missing,
s000458,False,False,False,False,False,0,file_missing,
s000459,False,False,False,False,False,0,file_missing,
s000460,False,False,False,False,False,0,file_missing,
s000461,False,False,False,False,False,0,file_missing,
s000462,False,False,False,False,False,0,file_missing,
s000463,False,False,False,False,False,0,file_missing,
s000464,False,False,False,False,False,0,file_missing,
s000465,False,False,False,False,False,0,file_missing,
s000466,False,False,False,False,False,0,file_missing,
s000467,False,False,False,False,False,0,file_missing,
s000468,False,False,False,False,False,0,file_missing,
s000469,False,False,False,False,False,0,file_missing,
s000470,False,False,False,False,False,0,file_missing,
s000471,False,False,False,False,False,0,file_missing,
s000472,False,False,False,False,False,0,file_missing,
s000473,False,False,False,False,False,0,file_missing,
s000474,False,False,False,False,False,0,file_missing,
s000475,False,False,False,False,False,0,file_missing,
s000476,False,False,False,False,False,0,file_missing,
s000477,False,False,False,False,False,0,file_missing,
s000478,False,False,False,False,False,0,file_missing,
s000479,False,False,False,False,False,0,file_missing,
s000480,False,False,False,False,False,0,file_missing,
s000481,False,False,False,False,False,0,file_missing,
s000482,False,False,False,False,False,0,file_missing,
s000483,False,False,False,False,False,0,file_missing,
s000484,False,False,False,False,False,0,file_missing,
s000485,False,False,False,False,False,0,file_missing,
s000486,False,False,False,False,False,0,file_missing,
s000487,False,False,False,False,False,0,file_missing,
s000488,False,False,False,False,False,0,file_missing,
s000489,False,False,False,False,False,0,file_missing,
s000490,False,False,False,False,False,0,file_missing,
s000491,False,False,False,False,False,0,file_missing,
s000492,False,False,False,False,False,0,file_missing,
s000493,False,False,False,False,False,0,file_missing,
s000494,False,False,False,False,False,0,file_missing,
s000495,False,False,False,False,False,0,file_missing,
s000496,False,False,False,False,False,0,file_missing,
s000497,False,False,False,False,False,0,file_missing,
s000498,False,False,False,False,False,0,file_missing,
s000499,False,False,False,False,False,0,file_missing,
s000500,False,False,False,False,False,0,file_missing,
s000501,False,False,False,False,False,0,file_missing,
s000502,False,False,False,False,False,0,file_missing,
s000503,False,False,False,False,False,0,file_missing,
s000504,False,False,False,False,False,0,file_missing,
s000505,False,False,False,False,False,0,file_missing,
s000506,False,False,False,False,False,0,file_missing,
s000507,False,False,False,False,False,0,file_missing,
s000508,False,False,False,False,False,0,file_missing,
s000509,False,False,False,False,False,0,file_missing,
s000510,False,False,False,False,False,0,file_missing,
s000511,False,False,False,False,False,0,file_missing,
s000512,False,False,False,False,False,0,file_missing,
s000513,False,False,False,False,False,0,file_missing,
s000514,False,False,False,False,False,0,file_missing,
s000515,False,False,False,False,False,0,file_missing,
s000516,False,False,False,False,False,0,file_missing,
s000517,False,False,False,False,False,0,file_missing,
s000518,False,False,False,False,False,0,file_missing,
s000519,False,False,False,False,False,0,file_missing,
s000520,False,False,False,False,False,0,file_missing,
s000521,False,False,False,False,False,0,file_missing,
s000522,False,False,False,False,False,0,file_missing,
s000523,False,False,False,False,False,0,file_missing,
s000524,False,False,False,False,False,0,file_missing,
s000525,False,False,False,False,False,0,file_missing,
s000526,False,False,False,False,False,0,file_missing,
s000527,False,False,False,False,False,0,file_missing,
s000528,False,False,False,False,False,0,file_missing,
s000529,False,False,False,False,False,0,file_missing,
s000530,False,False,False,False,False,0,file_missing,
s000531,False,False,False,False,False,0,file_missing,
s000532,False,False,False,False,False,0,file_missing,
s000533,False,False,False,False,False,0,file_missing,
s000534,False,False,False,False,False,0,file_missing,
s000535,False,False,False,False,False,0,file_missing,
s000536,False,False,False,False,False,0,file_missing,
s000537,False,False,False,False,False,0,file_missing,
s000538,False,False,False,False,False,0,file_missing,
s000539,False,False,False,False,False,0,file_missing,
s000540,False,False,False,False,False,0,file_missing,
s000541,False,False,False,False,False,0,file_missing,
s000542,False,False,False,False,False,0,file_missing,
s000543,False,False,False,False,False,0,file_missing,
s000544,False,False,False,False,False,0,file_missing,
s000545,False,False,False,False,False,0,file_missing,
s000546,False,False,False,False,False,0,file_missing,
s000547,False,False,False,False,False,0,file_missing,
s000548,False,False,False,False,False,0,file_missing,
s000549,False,False,False,False,False,0,file_missing,
s000550,False,False,False,False,False,0,file_missing,
s000551,False,False,False,False,False,0,file_missing,
s000552,False,False,False,False,False,0,file_missing,
s000553,False,False,False,False,False,0,file_missing,
s000554,False,False,False,False,False,0,file_missing,
s000555,False,False,False,False,False,0,file_missing,
s000556,False,False,False,False,False,0,file_missing,
s000557,False,False,False,False,False,0,file_missing,
s000558,False,False,False,False,False,0,file_missing,
s000559,False,False,False,False,False,0,file_missing,
s000560,False,False,False,False,False,0,file_missing,
s000561,False,False,False,False,False,0,file_missing,
s000562,False,False,False,False,False,0,file_missing,
s000563,False,False,False,False,False,0,file_missing,
s000564,False,False,False,False,False,0,file_missing,
s000565,False,False,False,False,False,0,file_missing,
s000566,False,False,False,False,False,0,file_missing,
s000567,False,False,False,False,False,0,file_missing,
s000568,False,False,False,False,False,0,file_missing,
s000569,False,False,False,False,False,0,file_missing,
s000570,False,False,False,False,False,0,file_missing,
s000571,False,False,False,False,False,0,file_missing,
s000572,False,False,False,False,False,0,file_missing,
s000573,False,False,False,False,False,0,file_missing,
s000574,False,False,False,False,False,0,file_missing,
s000575,False,False,False,False,False,0,file_missing,
s000576,False,False,False,False,False,0,file_missing,
s000577,False,False,False,False,False,0,file_missing,
s000578,False,False,False,False,False,0,file_missing,
s000579,False,False,False,False,False,0,file_missing,
s000580,False,False,False,False,False,0,file_missing,
s000581,False,False,False,False,False,0,file_missing,
s000582,False,False,False,False,False,0,file_missing,
s000583,False,False,False,False,False,0,file_missing,
s000584,False,False,False,False,False,0,file_missing,
s000585,False,False,False,False,False,0,file_missing,
s000586,False,False,False,False,False,0,file_missing,
s000587,False,False,False,False,False,0,file_missing,
s000588,False,False,False,False,False,0,file_missing,
s000589,False,False,False,False,False,0,file_missing,
s000590,False,False,False,False,False,0,file_missing,
s000591,False,False,False,False,False,0,file_missing,
s000592,False,False,False,False,False,0,file_missing,
s000593,False,False,False,False,False,0,file_missing,
s000594,False,False,False,False,False,0,file_missing,
s000595,False,False,False,False,False,0,file_missing,
s000596,False,False,False,False,False,0,file_missing,
s000597,False,False,False,False,False,0,file_missing,
s000598,False,False,False,False,False,0,file_missing,
s000599,False,False,False,False,False,0,file_missing,
s000600,False,False,False,False,False,0,file_missing,
s000601,False,False,False,False,False,0,file_missing,
s000602,False,False,False,False,False,0,file_missing,
s000603,False,False,False,False,False,0,file_missing,
s000604,False,False,False,False,False,0,file_missing,
s000605,False,False,False,False,False,0,file_missing,
s000606,False,False,False,False,False,0,file_missing,
s000607,False,False,False,False,False,0,file_missing,
s000608,False,False,False,False,False,0,file_missing,
s000609,False,False,False,False,False,0,file_missing,
s000610,False,False,False,False,False,0,file_missing,
s000611,False,False,False,False,False,0,file_missing,
s000612,False,False,False,False,False,0,file_missing,
s000613,False,False,False,False,False,0,file_missing,
s000614,False,False,False,False,False,0,file_missing,
s000615,False,False,False,False,False,0,file_missing,
s000616,False,False,False,False,False,0,file_missing,
s000617,False,False,False,False,False,0,file_missing,
s000618,False,False,False,False,False,0,file_missing,
s000619,False,False,False,False,False,0,file_missing,
s000620,False,False,False,False,False,0,file_missing,
s000621,False,False,False,False,False,0,file_missing,
s000622,False,False,False,False,False,0,file_missing,
s000623,False,False,False,False,False,0,file_missing,
s000624,False,False,False,False,False,0,file_missing,
s000625,False,False,False,False,False,0,file_missing,
s000626,False,False,False,False,False,0,file_missing,
s000627,False,False,False,False,False,0,file_missing,
s000628,False,False,False,False,False,0,file_missing,
s000629,False,False,False,False,False,0,file_missing,
s000630,False,False,False,False,False,0,file_missing,
s000631,False,False,False,False,False,0,file_missing,
